ID	longitude	latitude	Hap
C1	116.40	39.90	H001
C2	116.40	39.90	H002
C3	116.40	39.90	H001
C4	121.47	31.23	H002
C5	121.47	31.23	H003
C6	121.47	31.23	H002
C7	113.26	23.13	H001
C8	104.07	30.67	H003
C9	104.07	30.67	H003
C10	104.07	30.67	H001
C11	114.30	30.60	H002
C12	114.30	30.60	H001
C13	108.94	34.26	H003
C14	108.94	34.26	H001
C15	106.71	26.57	H002
C16	106.71	26.57	H002
C17	102.73	25.04	H003
C18	102.73	25.04	H001
C19	118.80	32.06	H002
C20	120.15	30.28	H001
C21	87.62	43.83	H003
C22	87.62	43.83	H003
C23	91.11	29.65	H001
C24	110.33	20.02	H002
C25	126.63	45.75	H003
