ID	longitude	latitude	Hap
C1	-74.0060	40.7128	H001
C2	-74.0060	40.7128	H002
C3	-74.0060	40.7128	H001
C4	-0.1276	51.5072	H002
C5	-0.1276	51.5072	H003
C6	-0.1276	51.5072	H002
C7	2.3522	48.8566	H001
C8	139.6917	35.6895	H003
C9	139.6917	35.6895	H003
C10	139.6917	35.6895	H001
C11	151.2093	-33.8688	H002
C12	151.2093	-33.8688	H001
C13	-99.1332	19.4326	H003
C14	-99.1332	19.4326	H001
C15	-46.6333	-23.5505	H002
C16	-46.6333	-23.5505	H002
C17	28.0473	-26.2041	H003
C18	28.0473	-26.2041	H001
C19	77.2090	28.6139	H002
C20	37.6173	55.7558	H001
C21	31.2357	30.0444	H003
C22	31.2357	30.0444	H003
C23	-58.3816	-34.6037	H001
C24	18.4241	-33.9249	H002
C25	-123.1207	49.2827	H003
